CASES	LEFT	NODE	RIGHT	TRANSLATION	TRANSLATION_NODE	TRANSLATION_POS
1	Because everybody else	robs	banks.	Karena orang lain merampas bank.	merampas	verb
3	Mr. A always	robs	in disguise..	Mr. A selalu ngerampok dengan menyamar..	ngerampok	verb
6	Don't confuse that with	robbing	, which means the removal of the barrow's contents.	Jangan bingung bahwa dengan merampok, yang berarti penghapusan dari isi barrow.	merampok	verb
8	And you're accusing them of	robbing	?	Dan kalian menuduh mereka merampok?	merampok	verb
10	Well, like	robbing	a bank?	Yah, seperti merampok bank?	merampok	verb
11	But there's a bit fucking difference between hearing about a bank robbery and actually	robbing	a bank.	Tapi ada sedikit perbedaan antara mendengar tentang perampokan bank dan benar-benar merampok bank.	merampok	verb
12	We're	robbing	a casino?	Kita akan merampok sebuah kasino?	merampok	verb
13	Got sent to the rock for	robbing	a grocery store.	Dikirim untuk merampok sebuah toko kelontong.	merampok	verb
14	Bad enough you got us	robbing	a military base, now we got to worry about all these motherfucking Rambos killing our asses.	Cukup buruk kau buat kita merampok pangkalan militer, sekarang kita harus khawatirkan semua Rambo itu membunuhi kita.	merampok	verb
18	He was just	robbing	banks then.	Saat itu ia hanya merampok bank.	merampok	verb
20	I think it's a miracle she's not	robbing	banks with the Symbionese Liberation Army.	Aku pikir adalah sebuah keajaiban dia tidak merampok Bank Dengan kelompok Symbionese Liberation Army.	merampok	verb
23	And all I was doing was	robbing	Clem of whatever life she was gonna have left.	Dan yang aku lakukan adalah merampas Clem dari kehidupan apapun yang akan dia tinggalkan	merampas	verb
25	Somebody's	robbing	from us?	Seseorang merampas uang kami?	merampas	verb
26	He thinks the blockade is a figment of my imagination, and that I'm somehow deliberately	robbing	him of glory.	Dia pikir blokade adalah bagian dari imajinasi gue , dan bahwa gue entah bagaimana sengaja merampok kemuliaan .	merampok	verb
29	Yo, I'm not	robbing	no banks with you guys, all right?	Yo, aku tak akan merampok bank bersama kalian, oke?	merampok	verb
38	We	robbing	the bank.	Kami merampok bank.	merampok	verb
47	"""- Are you"	robbing	us?	"""- Apakah Anda merampok kami?"	merampok	verb
48	I want the guy who's	robbing	us.	Aku menginginkan orang yg merampok kami.	merampok	verb
53	I got	robbed	, and you need to cancel the emergency credit card.	Saya dirampok , dan Anda perlu untuk membatalkan kartu kredit darurat .	dirampok	verb
55	And the guy you	robbed	, I know told you he was.	Dan cowok yang dirampok, Aku tahu bilang dia.	dirampok	verb
56	You could've	robbed	, stolen, cheated.. anything.	Kau bisa saja merampok, mencuri, mencurangi.. semuanya.	merampok	verb
57	The bank's been	robbed	", the town is dry ""We'll die of thirst,"" the people cry"	"Bank dirampok, kota jadi kering ""Kami mati kehausan,"" jeritan warga"	dirampok	verb
58	I got	robbed	!	Aku dicopet!	dicopet	verb
60	All this happened because you were afraid you were gonna be	robbed	?	Jadi semua ini terjadi karena kau takut dirampok?	dirampok	verb
62	What if we can rip off that train, and no one ever knows it got	robbed	?	Bagaimana jika kita bisa rampok kereta itu, dan tidak ada yang pernah tahu pernah dirampok?	dirampok	verb
64	When did you get	robbed	?	"""- Kapan kau dirampok?"	dirampok	verb
66	"""- I got"	robbed	.	/ Aku dirampok.	dirampok	verb
71	Blagged,	robbed	.	Dipatil, Dirampok.	dirampok	verb
72	"""- You think you'll get"	robbed	.	/ Kau panik. Kau mengira akan dirampok./ Siapa yang merampok?	dirampok	verb
73	A bank has been	robbed	.	Bank telah dirampok.	dirampok	verb
77	Well, if you must know, I was	robbed	.	Kalau kau mau tahu, aku dirampok.	dirampok	verb
78	"""-I got"	robbed	.	"""- Aku dirampok."	dirampok	verb
79	"""- The bank with your money was"	robbed	.	"""- Bank yang menyimpan uang mu dirampok."	dirampok	verb
80	Half the folks I talked to don't even remember being	robbed	.	Setengah orang-orang yg ku tanyakan bahkan tidak ingat dirampok.	dirampok	verb
82	Perhaps it is because I'm expecting to be	robbed	.	Karena aku berharap untuk dirampok.	dirampok	verb
84	Wait one week. I got	robbed	.	Beri aku waktu seminggu, rumahku kemalingan.	kemalingan	verb
85	I'm saying we were	robbed	.	Saya bilang kita dirampok.	dirampok	verb
86	Yesterday Big Belly Burger got	robbed	.	Kemarin, Big Belly Burger dirampok.	dirampok	verb
90	We kind of got	robbed	...	Kita baru saja dirampok ...	dirampok	verb
92	"Listen to this. ""A pair of Mafia social clubs have been"	robbed	~	"Dengarkan ini. ""Sepasang Mafia klub sosial telah dirampok"	dirampok	verb
93	The same hour that three elderly gentlemen	robbed	2.3 million dollars from the Williamsburg Savings Bank.	Saat yang sama bahwa tiga pria tua Mereka mencuri $ 2,3 juta Williamsburg Bank Tabungan.	mencuri	verb
97	Two nights ago in Vegas, The Horsemen seemingly	robbed	a bank in Paris...	2 hari lalu di Vegas , Para Pesulap ini merampok bank di Paris...	merampok	verb
98	Two years ago, he	robbed	a bank, popped a guard and the bank manager and walked out with two million in cash and bearer bonds.	dua tahun yang lalu, dia merampok bank, menyandra penjaga dan manager bank dan berjalan keluar dengan dua juta langsung dan surat obligasi.	merampok	verb
99	You just	robbed	a bank!	Kau baru saja merampok bank!	merampok	verb
103	Someone matching Cole's description just	robbed	a drugstore.	Ada yang mencocokkan deskripsi Cole yang baru saja merampok toko obat di Queens.	merampok	verb
104	I	robbed	a gas station with a toy gun.	Aku merampok SPBU dengan pistol mainan.	merampok	verb
105	They say he	robbed	a liquor store, but he didn't.	Mereka bilang dia merampok toko miras, tapi tidak.	merampok	verb
106	We think he	robbed	a mail hack Tuesday down on the Poteau River.	Kami menduga dia merampok pengantar surat di Poteau River.	merampok	verb
109	After doing time for robbery, before three years passed, he	robbed	again.	Setelah melakukan pencurian, sebelum tiga tahun berlalu, dia mencuri lagi.	mencuri	verb
110	After they have	robbed	all the rich men, they will turn to the county government offices.	Setelah mereka merampok orang kaya, mereka akan beralih ke kantor-kantor pemerintah kabupaten .	merampok	verb
