CASES	LEFT	NODE	RIGHT	TRANSLATION	TRANSLATION_NODE	TRANSLATION_POS
3	Did you report it	stolen	?	Apa kau melaporkan dicuri?	dicuri	verb
4	I understand you spent time with Detective Blades looking for your car, which you reported	stolen	?	aku tahu kau sudah menghabiskan waktu bersama mencari mobil mu, yang kau laporkan dicuri?	dicuri	verb
5	What exactly do you believe she has	stolen	?	Apa yang dia curi?	curi	verb
10	My remote control has been	stolen	.	Remote control-ku telah dicuri.	dicuri	verb
11	That was reported	stolen	.	Dilaporkan dicuri hari ini.	dicuri	verb
12	No, I do not think there is something being	stolen	.	Tidak, saya tidak berpikir ada sesuatu yang dicuri.	dicuri	verb
13	They'd take the jewellery they'd	stolen	.	Mereka akan mengambil perhiasan yang mereka telah curi...	curi	verb
14	Painting is	stolen	.	Lukisan itu sudah dicuri.	dicuri	verb
18	This is Louis Anglet... go to courier in the high-end	stolen	art market.	Ini Louis Anglet menjadi kurir dalam pasar benda-benda seni curian mahal.	curian	noun
20	So, now... are you saying that a copy of the exam disappeared, but do not know which class it was, or... if it was	stolen	at the printing office?	Jadi, sekarang ... kau bilang bahwa salinan ujian menghilang, tapi tidak tahu yang mana kelas itu, atau ... Apa itu dicuri di kantor percetakan?	dicuri	verb
24	We've been getting a lot of calls about	stolen	cop cars.	Kami mendapatkan banyak panggilan tentang mobil polisi yang dicuri.	dicuri	verb
25	I would've	stolen	diamonds, laptop.	Aku sudah mencuri perhiasan, laptop.	mencuri	verb
28	The skull was	stolen	from Akator in the 15th century.	Tengkorak itu dicuri dari Akator pada abad ke-15.	dicuri	verb
29	And then it was	stolen	from me again!	Kemudian kau mencurinya juga dariku.	mencuri	verb
31	Nothing	stolen	from the port.	Negatif! Tidak ada yang di curi di pelabuhan. Bingo!	dicuri	verb
33	Well, you were most unlucky to have so many cumbersome objects	stolen	from you.	Kau yang paling beruntung untuk memiliki begitu banyak benda rumit dicuri dari Anda.	dicuri	verb
35	If someone's using the market to sell	stolen	goods, that's of significant concern.	Maaf. Jika seseorang menggunakan pasar ini untuk menjual barang curian, itu menjadi perhatian yang signifikan.	curian	noun
38	Everything I took for granted-	stolen	in a New York minute.	Semua yang saya menerima begitu saja - dicuri di New York menit.	dicuri	verb
41	Now he could have	stolen	my records without ever seeing her.	Padahal dia bisa mencuri rekamanku tanpa harus menemuinya.	mencuri	verb
43	You dare accuse our people of theft while you ride in on a	stolen	sand sailer?	Kau berani menuduh orang kami sebagai pencuri, tapi kalian menggunakan kapal curian?	curian	noun
44	Heck, you had your set list	stolen	the day of the competition at Sectionals, and you pulled that one off, right?	Kalian kedapatan set list kalian dicuri dihari kompetisi saat Sectionals, dan kalian berhasil menang, iya kan?	dicuri	verb
48	Yeah, I need to report a	stolen	vehicle.	Ya.Saya ingin melaporkan kendaran yang hilang.	hilang	verb
49	And there was another keepsake of hers, but it got	stolen	with my stuff.	Dan ada kenang-kenangan dari dirinya lagi, tapi dicuri bersama dengan barang yang lain.	dicuri	verb
50	It's the first thing I ever	stole	, actually.	Sebenarnya ini benda pertama yang kucuri.	curi	verb
52	"""- Do you have proof that she"	stole	?	"""- Kau punya bukti dia mencuri?"	mencuri	verb
56	The chemicals they	stole	"""--torinium and lydracide-- they have absolutely zero street value."	Bahan kimia yang mereka curi-- torinium dan lydracide-- keduanya sama sekali tak bernilai di jalanan sana.	curi	verb
57	"What do you mean, """	stole	"""? Like, picked your pocket?"	"Apa maksudmu, ""mencuri"" seperti, mencopet dari sakumu?"	mencuri	verb
59	And he	stole	$500 from me, back in the 1980s!	Dan dia mencuri $ 500 dariku..,.. Saat tahun 1980 !	mencuri	verb
60	You	stole	a car, ran over a hillbilly, you got arrested, you got in a prison fight.	Anda mencuri mobil, menabrak sebuah dusun, Anda ditangkap, Anda masuk bertengkar penjara.	mencuri	verb
62	I only	stole	a few coins.	Aku hanya mencuri beberapa koin.	mencuri	verb
64	The other day, someone	stole	a radio...	Beberapa hari yang lalu, seseorang mencuri radio.	mencuri	verb
65	He	stole	a truck when he was eleven years old.	Dia mencuri sebuah truk saat berusia 11 tahun.	mencuri	verb
67	Does spyder know you and Lupe	stole	all the drugs?	Apakah spyder tau kau dan lupe mencuri semua obat?	mencuri	verb
68	With the man who	stole	beckworth. - It is a complicated issue.	Dia ingin tahu mengapa aku sangat marah dengan orang yang mencuri Beckworth.	mencuri	verb
74	I	stole	everything for us.	Aku mencuri apa saja untuk kita.	mencuri	verb
75	You	stole	food from a wheelchair bound retarded boy.	Kau mencuri makanan dari anak terbelang yang berkursi roda.	mencuri	verb
77	"""- Yes, I do. Tell me about it. Like the letter says, which I wrote in a moment of anger, they"	stole	from me, from my family.	Seperti kata suratnya, yang kutulis dalam kemarahan, mereka mencuri dariku, dari keluargaku.	mencuri	verb
78	Where's the matchbox you	stole	from me?	Di mana korek api yang kau curi dariku?	curi	verb
81	"""It was I who"	stole	"fruits, set fire to people's trousers... right?"""	Akulah yang mencuri buah, bakar celana orang, benar?	mencuri	verb
83	"""- You"	stole	him from Scott Fischer.	"""- Kau menculiknya dari Scott Fischer."	menculik	verb
86	I snuck into his truck and, uh,	stole	his sunflower seeds.	Aku masuk ke mobilnya dan, uh, mencuri biji bunga mataharinya.	mencuri	verb
88	The last time we needed it, we, uh,	stole	it from a one-percenter.	Terakhir kali kami membutuhkannya, kami mencurinya dari seorang kaya.	mencuri	verb
89	They	stole	it from the race track.	Mereka mencurinya dari tempat pacuan kuda.	mencuri	verb
91	We, uh,	stole	it from these dumb-ass cops.	Kami, eh, mencuri dari ini bodoh-ass polisi.	mencuri	verb
92	Vultan	stole	it while we were burying our dead.	Vultan mencurinya saat kami mengubur jenazah rekan kami.	mencuri	verb
